mint,arm,entry_ts,ret,label,m5_buys,vol_m5_usd,pages,sig_n,sig_fail_share,slot_max_share,slot_dense_share,iat_cv,parsed_n,swap_n,buy_n,uniq_buyer_ratio,top_buyer_share,size_cv,size_dup_share,median_sol,wallets_checked,fresh_wallet_share,note
5GABCzDxdiZ5yf5s4c2pDzoKkwg6Yd2hhG9tjYBqo3Sm,wait120,1788429345.0,-0.90105,dump,491.0,15106.84,2,1761,0.3225,0.0568,0.7422,0.7153,40,40,19,0.9474,0.1053,0.7925,0.4211,0.182951,8,0.0,
J6Rfx6ZTAycGaxTwzcLHEaQzMbnjo2ZUAUzz9ouVpump,surge,1788429780.0,1.044,pump,522.0,27444.4,40,0,,,,,,,,,,,,,,,window beyond page cap
23yhdSFs3PJ9gxGU5xP8LzpzTtLJTsmYLMBdN1ZCn13r,surge,1788429780.0,-1.0,dump,404.0,2832.81,2,414,0.0773,0.0097,0.0386,0.7723,40,40,27,0.9259,0.0741,1.116,0.5926,0.002074,8,0.0,
6QD5PLNV6W4mhM6bmiunJi8dK599xtsvMMVDNSBhLygi,liqctl,1788429780.0,-1.0,dump,732.0,128154.59,11,2726,0.2131,0.004,0.3463,0.2052,40,40,30,0.9333,0.0667,0.9277,0.4667,0.393048,8,0.0,
JB8sbbs4e4dq4qXRAwU4RvRNkokD5jpasicG3DFFpump,liqctl,1788430597.0,-0.9637,dump,883.0,190342.45,5,1919,0.3137,0.0151,0.7405,0.7833,40,39,26,0.9615,0.0769,1.0473,0.16,1.063891,8,0.0,
5TMGRVc7FFt1jd6dQJNUrkmYNXQXGWEvgZqadHdcw8gG,liqctl,1788430597.0,2.54645,pump,1278.0,193021.51,14,1254,0.3836,0.0112,0.8325,4.5755,40,40,30,1.0,0.0333,1.0908,0.3667,0.199151,8,0.0,
b3SQSCkJKVCbj8NPw89nxsodpczzVygdqwmgedPQYza,surge,1788430897.0,-0.9161,dump,374.0,2866.76,2,424,0.0094,0.0142,0.0731,0.5741,40,40,30,0.9667,0.0667,1.6392,0.8,0.002069,8,0.0,
5mAJpcck7wxUhbphLXLDZ7itqSgdDEmn6fTRw8zrKFt2,wait120,1788431540.0,2.0516,pump,1386.0,151514.1,16,1560,0.3109,0.0115,0.6801,2.155,40,40,31,0.9355,0.0645,0.9813,0.3548,0.705946,8,0.0,
AY19aF7eufyoQ1z5j8T5cmEjnDPqspRm8FFMSFBkWAvP,surge,1788432467.0,2.78655,pump,584.0,2843.09,9,728,0.0179,0.0055,0.0055,0.3288,40,40,33,1.0,0.0303,1.9576,0.7576,0.002112,8,0.0,
CEgGSbtCbmQ2cwBFksFg6PpR8pJnuYsNEaK7NZkEBwsV,liqctl,1788433508.0,-1.0,dump,1255.0,129206.66,13,4347,0.3198,0.0051,0.8965,0.1612,40,40,25,0.96,0.08,1.0934,0.48,0.210907,8,0.0,
8iYHTWvFbBz4UQj3YFUwL34h4mg5ypLjak1jbZ8cDg6S,wait120,1788435031.0,-0.99875,dump,600.0,94231.87,6,1124,0.4253,0.0187,0.7927,2.4481,40,40,31,0.9355,0.0645,1.5916,0.5806,0.0025,8,0.0,
C8uVHPmFEZVstcgs1S5fbV4tQ2N3Rf11w46ZTan6Bf6e,liqctl,1788435203.0,-0.98645,dump,734.0,35383.64,11,1718,0.1717,0.0157,0.7049,0.86,40,36,19,0.8421,0.1053,1.2405,0.1053,0.05119,8,0.0,
EyvR6rzrF8bYA3QSCzYD7NBmQLMMSz3jPhPMSobZaeQZ,launchctl,1788435750.0,-1.0,dump,1269.0,193034.11,7,1439,0.4274,0.0215,0.7338,1.4872,40,40,35,0.9714,0.0571,1.7391,0.5714,0.002493,8,0.0,
499jQVCGNa9Zqfe4AsqaYgsMA2LgCXdZYVXtrT1B9xoe,liqctl,1788437550.0,-0.985,dump,2416.0,23271.4,11,6134,0.1089,0.0073,0.9901,0.261,40,40,21,0.9524,0.0952,2.7872,0.8571,0.0001,8,0.0,
